,Incidența  înregistrată la 14 zile
0,Incidența  înregistrată la 14 zile
1,"1,53"
2,"1,38"
3,"0,86"
4,"1,35"
5,"1,61"
6,"1,05"
7,"1,5"
8,"2,25"
9,"1,43"
10,"0,52"
11,"1,86"
12,"1,02"
13,"2,9"
14,"1,83"
15,"0,89"
16,"1,23"
17,"1,25"
18,"1,68"
19,"1,26"
20,"0,76"
21,"0,59"
22,"1,33"
23,"0,87"
24,"0,8"
25,"2,91"
26,"2,47"
27,"0,8"
28,"1,06"
29,"1,24"
30,"0,58"
31,"0,93"
32,"1,67"
33,"1,85"
34,"1,23"
35,"1,87"
36,"1,2"
37,"3,52"
38,"1,09"
39,"1,2"
40,"1,23"
41,"0,6"
42,"2,37"
43, 
44, Nr. Crt.
45,12
46,ARGEŞ
47,5
48,3
49,BRĂILA
50,10
51,3
52,CLUJ
53,15
54,8
55,GALAŢI
56,20
57,3
58,IALOMIŢA
59,25
60,8
61,MUNICIPIUL BUCUREŞTI
62,30
63,10
64,SĂLAJ
65,35
66,33
67,TIMIŞ
68,40
69,4
70,TOTAL
71,"VINDECAŢI*
 "
72,Franţa
73,2.381.277 (+104.786)
74, 53.769   (+1.494)
75, 1.826.161  (+12.267)
76,"VINDECAȚI*
 "
