,Incidența  înregistrată la 14 zile
0,Incidența  înregistrată la 14 zile
1,"1,62"
2,"1,32"
3,"0,9"
4,"1,37"
5,"1,62"
6,"1,09"
7,"1,49"
8,"2,21"
9,"1,46"
10,"0,53"
11,"1,85"
12,"1,03"
13,"3,01"
14,"1,91"
15,"0,88"
16,"1,23"
17,"1,34"
18,"1,73"
19,"1,19"
20,"0,8"
21,"0,61"
22,"1,38"
23,"0,94"
24,"0,79"
25,"2,96"
26,"2,53"
27,"0,81"
28,"1,06"
29,"1,35"
30,"0,59"
31,"0,96"
32,"1,72"
33,"1,9"
34,"1,27"
35,"1,87"
36,"1,22"
37,"3,63"
38,"1,1"
39,"1,28"
40,"1,29"
41,"0,6"
42,"2,4"
43, 
44, Nr. Crt.
45,21
46,ARGEŞ
47,5
48,5
49,BRĂILA
50,10
51,3
52,CLUJ
53,15
54,14
55,GALAŢI
56,20
57,2
58,IALOMIŢA
59,25
60,7
61,MUNICIPIUL BUCUREŞTI
62,30
63,10
64,SĂLAJ
65,35
66,37
67,TIMIŞ
68,40
69,16
70,TOTAL
71,"VINDECAŢI*
 "
72,Franţa
73,2.381.277  (+104.786)
74, 53.769 (+1.494)
75, 1.813.89    (+16.246)
76,"VINDECAȚI*
 "
