,Incidența  înregistrată la 14 zile
0,Incidența  înregistrată la 14 zile
1,"1,53"
2,"1,25"
3,"0,78"
4,"1,32"
5,"1,55"
6,"1,06"
7,"1,54"
8,"2,11"
9,"1,06"
10,"0,53"
11,"1,58"
12,"0,86"
13,"2,79"
14,"1,77"
15,"0,72"
16,"1,13"
17,"1,25"
18,"1,56"
19,"1,13"
20,"0,75"
21,"0,62"
22,"1,34"
23,"0,91"
24,"0,71"
25,"2,83"
26,"2,55"
27,"0,81"
28,"0,98"
29,"1,24"
30,"0,53"
31,"0,9"
32,"1,73"
33,"1,87"
34,"1,2"
35,"1,82"
36,"1,19"
37,"3,42"
38,"0,93"
39,"1,11"
40,"1,16"
41,"0,6"
42,"2,24"
43,
44, Nr. Crt.
45,21
46,ARGEŞ
47,5
48,12
49,BRĂILA
50,10
51,2
52,CLUJ
53,15
54,12
55,GALAŢI
56,20
57,3
58,IALOMIŢA
59,25
60,20
61,MUNICIPIUL BUCUREŞTI
62,30
63,13
64,SĂLAJ
65,35
66,63
67,TIMIŞ
68,40
69,24
70,Total
71,"VINDECAŢI*
 "
72,Franţa
73,2.381.277  (+104.786)
74, 53.769   (+1.494)
75, 1.859.936   (+18.966)
76,94.582.873   (+4.780.777)
